,entity_name_pre,is_equal_pre,is_substring_pre,sequence_matcher_pre,levenshtein_dist_pre,word_len_pre,levenshtein_dist_perc_pre,ocr_mistake_pre,ner_mistake_pre,category_pre,entity_name_digi_pre,entity_name_post,is_equal_post,is_substring_post,sequence_matcher_post,levenshtein_dist_post,word_len_post,levenshtein_dist_perc_post,ocr_mistake_post,ner_mistake_post,category_post,entity_name_digi_post
15,recipient_vat,0.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,code,recipient_vat_id,recipient_vat,0.45,1.0,0.45,5.5,10.0,0.55,0.0,0.55,code,recipient_vat_id
16,sender_address,0.0034482758620689655,0.9620689655172414,0.0896471809989507,40.01379310344828,42.52758620689655,0.9342469323314738,0.1471264367816092,0.8494252873563218,text,sender_address,sender_address,0.2045977011494253,0.8011494252873563,0.6993519693384317,16.65632183908046,42.52758620689655,0.40648147302623655,0.7459770114942529,0.04942528735632184,text,sender_address
17,sender_dic,0.013285024154589372,0.9975845410628019,0.014747324050393104,10.01328502415459,10.152173913043478,0.986694847020934,0.0024154589371980675,0.9842995169082126,code,sender_tax_id,sender_dic,0.9142512077294686,0.9722222222222222,0.9399518916967429,0.6159420289855072,10.152173913043478,0.061257502561850384,0.030193236714975844,0.05555555555555555,code,sender_tax_id
18,sender_ic,0.015214384508990318,0.9986168741355463,0.01644382972183802,7.955739972337483,8.085753803596127,0.9837482710926694,0.0013831258644536654,0.983402489626556,code,sender_register_id,sender_ic,0.9156293222683264,0.9820193637621023,0.9457737087039015,0.5532503457814661,8.085753803596127,0.05777492447616929,0.034578146611341634,0.04979253112033195,code,sender_register_id
19,sender_name,0.006179196704428424,0.9814624098867147,0.02230901303287537,19.69309989701339,20.127703398558186,0.9792219052997765,0.02265705458290422,0.9711637487126673,text,sender_name,sender_name,0.388259526261586,0.5602471678681772,0.8078398890587207,4.231719876416066,20.127703398558186,0.2181912620510027,0.4840370751802266,0.12770339855818744,text,sender_name
20,sender_vat,0.0,1.0,0.0,10.923076923076923,10.923076923076923,1.0,0.0,1.0,code,sender_vat_id,sender_vat,0.5384615384615384,1.0,0.5384615384615384,4.884615384615385,10.923076923076923,0.46153846153846156,0.0,0.46153846153846156,code,sender_vat_id
21,tax_detail_base,0.0,0.9908256880733946,0.007601572739187418,6.752293577981652,6.802752293577981,0.9927916120576671,0.009174311926605505,0.9908256880733946,amount,tax_detail_base,tax_detail_base,0.8119266055045872,0.9862385321100917,0.8390276262982685,1.1009174311926606,6.802752293577981,0.16331549439347604,0.03211009174311927,0.1559633027522936,amount,tax_detail_base
22,tax_detail_tax,0.0,1.0,0.0,6.065476190476191,6.065476190476191,1.0,0.0,1.0,amount,tax_detail_tax,tax_detail_tax,0.8571428571428571,0.9821428571428571,0.8890175300889587,0.7023809523809523,6.065476190476191,0.14382086167800454,0.041666666666666664,0.10119047619047619,amount,tax_detail_tax
23,tax_rate,0.0,1.0,0.0,1.9426751592356688,1.9426751592356688,1.0,0.0,1.0,misc,tax_rate,tax_rate,0.7484076433121019,1.0,0.7547770700636943,0.47770700636942676,1.9426751592356688,0.2515923566878981,0.009554140127388535,0.24203821656050956,misc,tax_rate
24,total_amount_base,0.0,0.9985294117647059,0.0012605042016806721,7.0058823529411764,7.014705882352941,0.9987394957983193,0.0014705882352941176,0.9985294117647059,amount,total_base,total_amount_base,0.7455882352941177,0.986764705882353,0.773523256587703,1.6573529411764707,7.014705882352941,0.23085375816993464,0.03235294117647059,0.22205882352941175,amount,total_base
25,total_amount_due,0.0,1.0,0.0,7.034090909090909,7.034090909090909,1.0,0.0,1.0,amount,total_due,total_amount_due,0.8068181818181818,0.984375,0.8426879861726954,1.1278409090909092,7.034090909090909,0.16195267406204905,0.041193181818181816,0.15198863636363635,amount,total_due
26,total_amount_incl_tax,0.0,1.0,0.0,7.033730158730159,7.033730158730159,1.0,0.0,1.0,amount,total_incl_tax,total_amount_incl_tax,0.7678571428571429,0.9880952380952381,0.785984125584966,1.5575396825396826,7.033730158730159,0.21598245779793399,0.021825396825396824,0.21031746031746032,amount,total_incl_tax
27,total_amount_rounding,0.0,1.0,0.0,4.220125786163522,4.220125786163522,1.0,0.0,1.0,amount,total_rounding,total_amount_rounding,0.7547169811320755,0.9811320754716981,0.8342517719876211,0.7169811320754716,4.220125786163522,0.17295597484276728,0.10062893081761007,0.14465408805031446,amount,total_rounding
28,total_amount_tax,0.0,1.0,0.0,6.24923076923077,6.24923076923077,1.0,0.0,1.0,amount,total_tax,total_amount_tax,0.6984615384615385,0.9876923076923076,0.7233361269198374,1.7738461538461539,6.24923076923077,0.28008485958485957,0.02923076923076923,0.2723076923076923,amount,total_tax
29,var_sym,0.009505703422053232,1.0,0.009505703422053232,8.570342205323193,8.661596958174904,0.9904942965779467,0.0,0.9904942965779467,code,var_sym,var_sym,0.9543726235741445,0.9885931558935361,0.9755798950892478,0.21292775665399238,8.661596958174904,0.026086366105377512,0.022813688212927757,0.022813688212927757,code,var_sym
